Module                  Size  Used by
xt_conntrack           12288  2
nft_chain_nat          12288  3
xt_MASQUERADE          16384  2
nf_nat                 65536  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack_netlink    61440  0
nf_conntrack          212992  4 xt_conntrack,nf_nat,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
xfrm_user              61440  1
xfrm_algo              16384  1 xfrm_user
xt_addrtype            12288  2
nft_compat             24576  6
nf_tables             372736  96 nft_compat,nft_chain_nat
libcrc32c              12288  3 nf_conntrack,nf_nat,nf_tables
br_netfilter           36864  0
bridge                385024  1 br_netfilter
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
vboxnetadp             28672  0
vboxnetflt             40960  0
vboxdrv               716800  2 vboxnetadp,vboxnetflt
ccm                    20480  6
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               114688  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
overlay               204800  0
sunrpc                880640  1
snd_ctl_led            24576  0
snd_soc_skl_hda_dsp    24576  6
snd_soc_intel_hda_dsp_common    16384  1 snd_soc_skl_hda_dsp
snd_soc_hdac_hdmi      45056  1 snd_soc_skl_hda_dsp
snd_sof_probes         24576  0
qrtr                   57344  4
iwlmvm                589824  0
snd_hda_codec_realtek   192512  1
snd_hda_codec_generic   114688  1 snd_hda_codec_realtek
ledtrig_audio          12288  2 snd_ctl_led,snd_hda_codec_generic
snd_soc_dmic           12288  1
snd_sof_pci_intel_tgl    12288  4
mac80211             1392640  1 iwlmvm
snd_sof_intel_hda_common   217088  1 snd_sof_pci_intel_tgl
soundwire_intel        73728  1 snd_sof_intel_hda_common
soundwire_generic_allocation    12288  1 soundwire_intel
snd_sof_intel_hda_mlink    40960  2 soundwire_intel,snd_sof_intel_hda_common
btusb                  86016  0
soundwire_cadence      45056  1 soundwire_intel
btrtl                  32768  1 btusb
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
btintel                57344  1 btusb
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
btbcm                  24576  1 btusb
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_common
btmtk                  16384  1 btusb
libarc4                12288  1 mac80211
snd_sof               360448  4 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_probes,snd_sof_intel_hda
bluetooth            1134592  6 btrtl,btmtk,btintel,btbcm,btusb
iwlwifi               544768  1 iwlmvm
intel_rapl_msr         20480  0
binfmt_misc            28672  1
snd_sof_utils          16384  1 snd_sof
intel_rapl_common      36864  1 intel_rapl_msr
snd_soc_hdac_hda       28672  1 snd_sof_intel_hda_common
snd_hda_ext_core       36864  5 snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_soc_acpi_intel_match    98304  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
x86_pkg_temp_thermal    16384  0
intel_powerclamp       16384  0
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
coretemp               16384  0
snd_soc_core          434176  8 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_soc_hdac_hda,snd_sof_probes,snd_soc_dmic,snd_soc_skl_hda_dsp
nls_ascii              12288  1
cfg80211             1343488  3 iwlmvm,iwlwifi,mac80211
nls_cp437              16384  1
kvm_intel             413696  0
snd_compress           28672  2 snd_soc_core,snd_sof_probes
hp_wmi                 24576  0
vfat                   20480  1
snd_pcm_dmaengine      16384  1 snd_soc_core
sparse_keymap          12288  1 hp_wmi
joydev                 24576  0
snd_hda_codec_hdmi     90112  2
uvcvideo              147456  0
soundwire_bus         114688  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
platform_profile       12288  1 hp_wmi
ecdh_generic           16384  1 bluetooth
fat                   102400  1 vfat
snd_hda_intel          61440  1
kvm                  1363968  1 kvm_intel
videobuf2_vmalloc      20480  1 uvcvideo
snd_intel_dspcfg       36864  3 snd_hda_intel,snd_sof,snd_sof_intel_hda_common
uvc                    12288  1 uvcvideo
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
